vendor,tag,freq
V04,LG,1
V04,8-674-MV-5078,1
V04,740,1
V04,N2,1
V04,MHIJ,1
V04,RS,1
V04,LIB,1
V04,700,1
V04,21,1
V04,BV20,1
V04,238,1
V04,DOIF,1
V04,50-674-DW531-A1SEO-N,1
V04,7C,1
V04,N3,1
V04,MV-5061,1
V04,MV-5080,1
V04,VS,1
V04,S674-10003.001,1
V04,M228,1
V04,DI,1
V04,63,1
V04,FFRROMIFC-102002,1
V04,WI,1
V04,1090-00036,1
V04,CO,1
V04,102004,1
V04,IFIROMIFC-202002,1
V04,1090-00039,1
V04,GO,1
V04,SO,1
V04,PDI,1
V04,085601,1
V04,1090-00356,1
V04,0359-03,1
V04,S0,1
V04,11645-001,1
V04,383,1
V04,IH,1
V04,828,1
V04,0188,1
V04,ILFB,1
V04,6359-101,1
V04,353,1
V04,EXX,1
V04,1645-001,1
V04,846,1
V04,42,1
V04,505,1
V04,11645-200,1
V04,0359-04,1
V04,35,1
V04,W3OO,1
V04,55-WL-0026,1
V04,14,1
V04,55-WG-0055,1
V04,55-WG-0056,1
V04,P3O0,1
V04,489,1
V04,2-55L0014-FD2OS-4,1
V04,64,1
V04,55-WG-0034,1
V04,55-WL-0023,1
V04,2-,1
V04,55-WG-0021,1
V04,00-MX-U300-12,1
V04,55-WG-0033,1
V04,55-WG-0023,1
V04,55-WG-0022,1
V04,55-WL-0025,1
V04,1.75-GBFDOOJ,1
V04,L3,1
V04,55-WL-0014,1
V04,55-WL-0008,1
V04,P300,1
V04,U300,1
V04,00.75-GBFC,1
V04,P3OO,1
V04,H7,1
V04,7777,1
V04,NP-55L0042-FD2OS-4,1
V04,WP-55L0038-FD2OS-4,1
V04,55-WG-0060,1
V04,5-WG-0010,1
V04,58,1
V04,55-WG-0009,1
V04,55-WG-0061,1
V04,55-WG-0062,1
V04,01.00-GTFDOO,1
V04,5-WG-0007,1
V04,55-WG-0008,1
V04,LJ20,1
V04,77,1
V04,00-MX-P200-11,1
V04,55-WL-0002,1
V04,55-WL-0027,1
V04,LPT,1
V04,U200,1
V04,00.75-GBFD,1
V04,55-WG-0070,1
V04,00.75-GTFDOO,1
V04,71,1
V04,55-WG-0067,1
V04,55-WG-0068,1
V04,01.00-GTFDO,1
V04,55-WG-0036,1
V04,55-WG-0035,1
V04,82,1
V04,55-WL-0031,1
V04,01.00-GTFDOC,1
V04,L8,1
V04,55-WL-0015,1
V04,00.75-GBFDOO,1
V04,003,1
V04,55L0012-FD2OS-4,1
V04,FOOO,1
V04,882,1
V04,55L0010-FD2OS-4,1
V04,55-WG-001,1
V04,55-WG-0015,1
V04,55-WG-0016,1
V04,55-WG-0064,1
V04,55-WG-0013,1
V04,55-WG-0011,1
V04,55-WG-0014,1
V04,55-WG-0012,1
V04,55-WG-0017,1
V04,01.00-GTFDC,1
V04,1.00-GTFDOOJ,1
V04,F7,1
V04,NOT,1
V04,55-WL-0004,1
V04,55-WL-0003,1
V04,5-WL-0005,1
V04,55-WL-0029,1
V04,55-WL-0006,1
V04,W2OO,1
V04,KK,1
V04,74,1
V04,U1OO,1
V04,IP-55L0023-FD2OS-4,1
V04,2-55L0033-FD2OS-4,1
V04,55-WG-0037,1
V04,55-WG-0038,1
V04,55-WG-0065,1
V04,55-WG-0066,1
V04,KI,1
V04,LZ,1
V04,17,1
V04,55-WL-0016,1
V04,55-WL-0030,1
V04,55-WG-006,1
V04,45,1
V04,00.75-GBFDOOS,1
V04,00.75-GTFDC,1
V04,WP-55L0032-FD2OS-4,1
