mask,vendor,freq,n_digits,status,beaten_by
##.A#-AAAAAAA,V04,1,3,REJECTED,A#.##-AAAAAAA
A#-AA-A##A-##,V04,1,5,REJECTED,A#-AA-A###-##
##-AA-A#AA-##,V04,1,5,REJECTED,A#-AA-A##A-##
#-AA-A#AA-##,V04,1,4,ACCEPTED,
AA-AA-A#AA-##,V04,1,3,REJECTED,AA-AA-A###-##
##-AA-AAAA,V04,1,2,REJECTED,##-AA-#A##
##-AAAAAAA,V04,1,2,ACCEPTED,
AA##AA,V04,1,2,REJECTED,#A####
##.,V04,1,2,ACCEPTED,
##.##-AA-AAAAA,V04,1,4,ACCEPTED,
#.##-AAAAAAA##.##-A,V04,1,7,ACCEPTED,
#AAAA#,V04,1,2,REJECTED,AA##AA
A-AA-A#AA-##,V04,1,3,REJECTED,#-AA-A#AA-##
AA-AA-A###-##,V04,1,5,REJECTED,##-AA-A#AA-##
